FRAME,NAME,MASS,VELOCITY,ACCELERATION,POSITION
9,Mercury,3.285e+23,(-29641.7,38544.1,0),(-0.0346739,-0.0226686,0),(4.48203e+10,3.43064e+10,0)
9,Venus,4.867e+24,(-8766.12,34031.7,0),(-0.0111237,-0.00253949,0),(1.04401e+11,2.69469e+10,0)
9,Earth,5.972e+24,(-4602.57,29465.4,0),(-0.00588957,-0.000816583,0),(1.47609e+11,2.30678e+10,0)
9,Mars,6.39e+23,(-1986.38,23997.4,0),(-0.002551,-0.000186616,0),(2.27042e+11,1.86959e+10,0)
10,Sun,1.989e+30,(0.0452082,0.00606669,0),(5.0982e-08,1.39908e-08,0),(21615,1923.61,0)
10,Mercury,3.285e+23,(-32500.6,36355.8,0),(-0.0330893,-0.0253274,0),(4.20123e+10,3.74476e+10,0)
10,Venus,4.867e+24,(-9721.38,33785.1,0),(-0.0110563,-0.0028538,0),(1.03561e+11,2.98659e+10,0)
10,Earth,5.972e+24,(-5110.28,29386.1,0),(-0.00587634,-0.000918289,0),(1.47168e+11,2.56067e+10,0)
10,Mars,6.39e+23,(-2206.65,23979.3,0),(-0.00254942,-0.000209922,0),(2.26851e+11,2.07677e+10,0)
11,Sun,1.989e+30,(0.0495672,0.00740514,0),(5.04518e-08,1.54913e-08,0),(25897.7,2563.42,0)
11,Mercury,3.285e+23,(-35203.9,33946.2,0),(-0.0312875,-0.0278882,0),(3.89707e+10,4.03805e+10,0)
11,Venus,4.867e+24,(-10670,33511.5,0),(-0.0109798,-0.00316654,0),(1.02639e+11,3.27613e+10,0)
11,Earth,5.972e+24,(-5616.71,29297.9,0),(-0.00586135,-0.00101981,0),(1.46683e+11,2.81381e+10,0)
11,Mars,6.39e+23,(-2426.77,23959.2,0),(-0.00254763,-0.000233217,0),(2.26641e+11,2.28378e+10,0)
12,Sun,1.989e+30,(0.053875,0.00887112,0),(4.9859e-08,1.69673e-08,0),(30552.5,3329.88,0)
12,Mercury,3.285e+23,(-37733,31325.6,0),(-0.0292723,-0.0303314,0),(3.57105e+10,4.3087e+10,0)
12,Venus,4.867e+24,(-11611.3,33211.1,0),(-0.0108944,-0.00347746,0),(1.01636e+11,3.56307e+10,0)
12,Earth,5.972e+24,(-6121.68,29201.1,0),(-0.00584459,-0.00112112,0),(1.46154e+11,3.06611e+10,0)
12,Mars,6.39e+23,(-2646.71,23937,0),(-0.00254563,-0.0002565,0),(2.26413e+11,2.4906e+10,0)
13,Sun,1.989e+30,(0.0581263,0.0104621,0),(4.92047e-08,1.84147e-08,0),(35574.6,4233.81,0)
13,Mercury,3.285e+23,(-40070,28505.8,0),(-0.0270494,-0.032637,0),(3.22485e+10,4.55499e+10,0)
13,Venus,4.867e+24,(-12544.4,32883.9,0),(-0.0108001,-0.00378629,0),(1.00552e+11,3.84719e+10,0)
13,Earth,5.972e+24,(-6625.05,29095.5,0),(-0.00582607,-0.00122218,0),(1.45581e+11,3.31749e+10,0)
13,Mars,6.39e+23,(-2866.46,23912.8,0),(-0.00254342,-0.000279767,0),(2.26165e+11,2.6972e+10,0)
14,Sun,1.989e+30,(0.0623159,0.0121754,0),(4.84903e-08,1.98294e-08,0),(40958.7,5285.77,0)
14,Mercury,3.285e+23,(-42197.8,25500.3,0),(-0.024627,-0.034785,0),(2.86026e+10,4.77532e+10,0)
14,Venus,4.867e+24,(-13468.6,32530.3,0),(-0.0106968,-0.00409276,0),(9.93884e+10,4.12825e+10,0)
14,Earth,5.972e+24,(-7126.67,28981.2,0),(-0.0058058,-0.00132297,0),(1.44965e+11,3.56789e+10,0)
14,Mars,6.39e+23,(-3086,23886.6,0),(-0.002541,-0.000303019,0),(2.25898e+11,2.90358e+10,0)
15,Sun,1.989e+30,(0.0664387,0.0140077,0),(4.77175e-08,2.12075e-08,0),(46699,6496.04,0)
15,Mercury,3.285e+23,(-44099.9,22324.7,0),(-0.0220152,-0.0367555,0),(2.47923e+10,4.9682e+10,0)
15,Venus,4.867e+24,(-14383.2,32150.5,0),(-0.0105846,-0.0043966,0),(9.81457e+10,4.40603e+10,0)
15,Earth,5.972e+24,(-7626.39,28858.2,0),(-0.00578377,-0.00142345,0),(1.44307e+11,3.81722e+10,0)
